vocab,layer,model,condition,feature,strength,file,clarif_rate,best_q_sim,nli,ambik_acc,overall_weighted_score,overall_weighted_score_nli,overall_similarity_nli,resolved_proxy_rate_nli
clar_vocab,31.0,9B,steering,778.0,3.0,/mnt/d/MIPT/results/clar_vocab2/layer31_chunk0000_act/ambik_9b_steered_seed42_feat778_str3.0.json,0.58,0.33166509591043,,0.11,,,,
clar_vocab,20.0,9B,steering (variant2),344.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat344_str3.0.json,0.5,0.26871350828558205,,0.06,,,,
clar_vocab,20.0,9B,steering (variant2),383.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat383_str3.0.json,0.62,0.34687268272042276,,0.1,,,,
clar_vocab,20.0,9B,steering (variant2),565.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat565_str3.0.json,0.7,0.38519307179376483,,0.14,,,,
clar_vocab,20.0,9B,steering (variant2),591.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat591_str3.0.json,0.53,0.31434215694665907,,0.11,,,,
clar_vocab,20.0,9B,steering (variant2),688.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat688_str3.0.json,0.62,0.345494220405817,,0.09,,,,
clar_vocab,20.0,9B,steering (variant2),771.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered2_feat771_str3.0.json,0.43,0.20939210373908282,,0.04,,,,
clar_vocab,20.0,9B,steering (eval),344.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat344_str15.0.json,0.03,0.01711141347885132,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),383.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat383_str15.0.json,0.65,0.36709148429334165,,0.13,,,,
clar_vocab,20.0,9B,steering (eval),565.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat565_str15.0.json,0.0,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),591.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat591_str15.0.json,0.02,0.008238437622785567,,0.01,,,,
clar_vocab,20.0,9B,steering (eval),688.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat688_str15.0.json,0.64,0.3662676029652357,,0.11,,,,
clar_vocab,20.0,9B,steering (eval),771.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_eval_feat771_str15.0.json,0.0,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (random),10885.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat10885_str15.0.json,0.68,0.38119302339851857,,0.11,,,,
clar_vocab,20.0,9B,steering (random),10885.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat10885_str3.0.json,0.64,0.3579444402456284,,0.12,,,,
clar_vocab,20.0,9B,steering (random),11167.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat11167_str15.0.json,0.62,0.34689496327191593,,0.11,,,,
clar_vocab,20.0,9B,steering (random),11167.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat11167_str3.0.json,0.56,0.3107460708916187,,0.09,,,,
clar_vocab,20.0,9B,steering (random),12423.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat12423_str15.0.json,0.89,0.5579433643817902,,0.29,,,,
clar_vocab,20.0,9B,steering (random),12423.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat12423_str3.0.json,0.69,0.4045510782301426,,0.16,,,,
clar_vocab,20.0,9B,steering (random),1250.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat1250_str15.0.json,1.0,0.599990841448307,,0.28,,,,
clar_vocab,20.0,9B,steering (random),1250.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat1250_str3.0.json,0.7,0.402380949370563,,0.14,,,,
clar_vocab,20.0,9B,steering (random),13344.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat13344_str15.0.json,0.96,0.5246921995282173,,0.2,,,,
clar_vocab,20.0,9B,steering (random),13344.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat13344_str3.0.json,0.61,0.33993123658001423,,0.11,,,,
clar_vocab,20.0,9B,steering (random),1715.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat1715_str15.0.json,0.39,0.20261513881385326,,0.06,,,,
clar_vocab,20.0,9B,steering (random),1715.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat1715_str3.0.json,0.58,0.33305517248809335,,0.11,,,,
clar_vocab,20.0,9B,steering (random),2856.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat2856_str15.0.json,0.0,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (random),2856.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat2856_str3.0.json,0.59,0.3463653887808323,,0.14,,,,
clar_vocab,20.0,9B,steering (random),3529.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat3529_str15.0.json,0.05,0.0017377708107233047,,0.0,,,,
clar_vocab,20.0,9B,steering (random),3529.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat3529_str3.0.json,0.51,0.2830194256454706,,0.09,,,,
clar_vocab,20.0,9B,steering (random),8734.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat8734_str15.0.json,0.25,0.14114322409033775,,0.06,,,,
clar_vocab,20.0,9B,steering (random),8734.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat8734_str3.0.json,0.53,0.3226121464371681,,0.15,,,,
clar_vocab,20.0,9B,steering (random),8771.0,15.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat8771_str15.0.json,0.34,0.12501462883129716,,0.03,,,,
clar_vocab,20.0,9B,steering (random),8771.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_9b_steered_rand_feat8771_str3.0.json,0.51,0.29572050504386427,,0.1,,,,
clar_vocab,20.0,9B,baseline,,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_ch0002_rand/ambik_eval_baseline_featNone.json,0.61,0.3350397282838821,,0.06,,,,
clar_vocab,20.0,9B,steering (variant2),344.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat344_str2.0.json,0.54,0.3009013384580612,,0.11,,,,
clar_vocab,20.0,9B,steering (variant2),344.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat344_str3.0.json,0.5,0.26871350828558205,,0.06,,,,
clar_vocab,20.0,9B,steering (variant2),383.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat383_str2.0.json,0.65,0.36739481598138807,,0.12,,,,
clar_vocab,20.0,9B,steering (variant2),383.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat383_str3.0.json,0.62,0.34687268272042276,,0.1,,,,
clar_vocab,20.0,9B,steering (variant2),565.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat565_str2.0.json,0.74,0.4231719574332237,,0.12,,,,
clar_vocab,20.0,9B,steering (variant2),565.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat565_str3.0.json,0.7,0.38519307179376483,,0.14,,,,
clar_vocab,20.0,9B,steering (variant2),591.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat591_str2.0.json,0.61,0.34553967855870726,,0.09,,,,
clar_vocab,20.0,9B,steering (variant2),591.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat591_str3.0.json,0.53,0.31434215694665907,,0.11,,,,
clar_vocab,20.0,9B,steering (variant2),688.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat688_str2.0.json,0.68,0.387121619656682,,0.15,,,,
clar_vocab,20.0,9B,steering (variant2),688.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat688_str3.0.json,0.62,0.345494220405817,,0.09,,,,
clar_vocab,20.0,9B,steering (variant2),771.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat771_str2.0.json,0.58,0.2996234992519021,,0.1,,,,
clar_vocab,20.0,9B,steering (variant2),771.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered2_feat771_str3.0.json,0.43,0.20939210373908282,,0.04,,,,
clar_vocab,20.0,9B,steering (eval),344.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat344_str4.0.json,0.45,0.25085070699453355,,0.07,,,,
clar_vocab,20.0,9B,steering (eval),383.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat383_str4.0.json,0.67,0.38041794337332246,,0.12,,,,
clar_vocab,20.0,9B,steering (eval),565.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat565_str4.0.json,0.7,0.3718130901828408,,0.11,,,,
clar_vocab,20.0,9B,steering (eval),591.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat591_str4.0.json,0.42,0.23729789808392523,,0.09,,,,
clar_vocab,20.0,9B,steering (eval),688.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat688_str4.0.json,0.65,0.37400897689163687,,0.11,,,,
clar_vocab,20.0,9B,steering (eval),771.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered3_eval_feat771_str4.0.json,0.2,0.07395770281553268,,0.02,,,,
clar_vocab,20.0,9B,steering (eval),344.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat344_str3.0.json,0.59,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),383.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat383_str3.0.json,0.61,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),565.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat565_str3.0.json,0.69,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),591.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat591_str3.0.json,0.61,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),688.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat688_str3.0.json,0.66,0.0,,0.0,,,,
clar_vocab,20.0,9B,steering (eval),771.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_9b_steered_eval_feat771_str3.0.json,0.55,0.0,,0.0,,,,
clar_vocab,20.0,9B,baseline,,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer20_old_ch0002/ambik_eval_baseline_featNone.json,0.61,0.3350397282838821,,0.06,,,,
clar_vocab,31.0,9B,steering,124.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat124_str1.0.json,0.63,0.35602524809539315,,0.13,,,,
clar_vocab,31.0,9B,steering,124.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat124_str10.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,124.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat124_str2.0.json,0.53,0.30344777040183546,,0.12,,,,
clar_vocab,31.0,9B,steering,124.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat124_str3.0.json,0.01,0.003834377825260162,,0.0,,,,
clar_vocab,31.0,9B,steering,124.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat124_str4.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,158.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat158_str1.0.json,0.6,0.32954847998917103,,0.1,,,,
clar_vocab,31.0,9B,steering,158.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat158_str10.0.json,0.7,0.39197024792432783,,0.15,,,,
clar_vocab,31.0,9B,steering,158.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat158_str2.0.json,0.67,0.35786819415166976,,0.11,,,,
clar_vocab,31.0,9B,steering,158.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat158_str3.0.json,0.65,0.3574742179363966,,0.12,,,,
clar_vocab,31.0,9B,steering,158.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat158_str4.0.json,0.66,0.3701896690577269,,0.11,,,,
clar_vocab,31.0,9B,steering,294.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat294_str1.0.json,0.65,0.36742792416363956,,0.12,,,,
clar_vocab,31.0,9B,steering,294.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat294_str10.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,294.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat294_str2.0.json,0.64,0.369060467928648,,0.12,,,,
clar_vocab,31.0,9B,steering,294.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat294_str3.0.json,0.62,0.3576944672688842,,0.16,,,,
clar_vocab,31.0,9B,steering,294.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat294_str4.0.json,0.64,0.3588245719671249,,0.12,,,,
clar_vocab,31.0,9B,steering,308.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat308_str1.0.json,0.67,0.377085530385375,,0.11,,,,
clar_vocab,31.0,9B,steering,308.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat308_str10.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,308.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat308_str2.0.json,0.58,0.31978568740189073,,0.11,,,,
clar_vocab,31.0,9B,steering,308.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat308_str3.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,308.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat308_str4.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,540.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat540_str1.0.json,0.62,0.34532268464565274,,0.12,,,,
clar_vocab,31.0,9B,steering,540.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat540_str10.0.json,0.59,0.33362468414008617,,0.11,,,,
clar_vocab,31.0,9B,steering,540.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat540_str2.0.json,0.67,0.3744319877773523,,0.1,,,,
clar_vocab,31.0,9B,steering,540.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat540_str3.0.json,0.64,0.3531496147252619,,0.11,,,,
clar_vocab,31.0,9B,steering,540.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat540_str4.0.json,0.59,0.3363993924111128,,0.1,,,,
clar_vocab,31.0,9B,steering,550.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat550_str1.0.json,0.68,0.3785624688863754,,0.15,,,,
clar_vocab,31.0,9B,steering,550.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat550_str10.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,550.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat550_str2.0.json,0.68,0.3842894745990634,,0.1,,,,
clar_vocab,31.0,9B,steering,550.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat550_str3.0.json,0.55,0.3336980161070824,,0.15,,,,
clar_vocab,31.0,9B,steering,550.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat550_str4.0.json,0.51,0.2923985370993614,,0.09,,,,
clar_vocab,31.0,9B,steering,631.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat631_str1.0.json,0.62,0.35088061198592185,,0.12,,,,
clar_vocab,31.0,9B,steering,631.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat631_str10.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,631.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat631_str2.0.json,0.57,0.3034377659857273,,0.09,,,,
clar_vocab,31.0,9B,steering,631.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat631_str3.0.json,0.28,0.1575461046397686,,0.07,,,,
clar_vocab,31.0,9B,steering,631.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat631_str4.0.json,0.02,0.007179601788520813,,0.0,,,,
clar_vocab,31.0,9B,steering,778.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat778_str1.0.json,0.57,0.32107627660036087,,0.11,,,,
clar_vocab,31.0,9B,steering,778.0,10.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat778_str10.0.json,0.39,0.19223175838589668,,0.04,,,,
clar_vocab,31.0,9B,steering,778.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat778_str2.0.json,0.59,0.34024608630687,,0.14,,,,
clar_vocab,31.0,9B,steering,778.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat778_str3.0.json,0.56,0.30470036864280703,,0.07,,,,
clar_vocab,31.0,9B,steering,778.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed42_feat778_str4.0.json,0.54,0.3170616349577904,,0.11,,,,
clar_vocab,31.0,9B,steering,124.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat124_str1.0.json,0.61,0.34816766731441023,,0.14,,,,
clar_vocab,31.0,9B,steering,124.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat124_str2.0.json,0.53,0.29032933674752714,,0.07,,,,
clar_vocab,31.0,9B,steering,124.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat124_str3.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,124.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat124_str4.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,158.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat158_str1.0.json,0.67,0.3799811390042305,,0.12,,,,
clar_vocab,31.0,9B,steering,158.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat158_str2.0.json,0.67,0.3826933366805315,,0.13,,,,
clar_vocab,31.0,9B,steering,158.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat158_str3.0.json,0.67,0.3679756297916174,,0.12,,,,
clar_vocab,31.0,9B,steering,158.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat158_str4.0.json,0.68,0.3871867398172617,,0.15,,,,
clar_vocab,31.0,9B,steering,294.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat294_str1.0.json,0.69,0.3993107607960701,,0.13,,,,
clar_vocab,31.0,9B,steering,294.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat294_str2.0.json,0.66,0.3827779457718134,,0.12,,,,
clar_vocab,31.0,9B,steering,294.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat294_str3.0.json,0.64,0.34521703600883485,,0.11,,,,
clar_vocab,31.0,9B,steering,294.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat294_str4.0.json,0.65,0.36741923451423647,,0.12,,,,
clar_vocab,31.0,9B,steering,308.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat308_str1.0.json,0.67,0.3598665575310588,,0.09,,,,
clar_vocab,31.0,9B,steering,308.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat308_str2.0.json,0.55,0.31170635387301443,,0.17,,,,
clar_vocab,31.0,9B,steering,308.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat308_str3.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,308.0,4.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat308_str4.0.json,0.0,0.0,,0.0,,,,
clar_vocab,31.0,9B,steering,540.0,1.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat540_str1.0.json,0.66,0.37641652770340445,,0.12,,,,
clar_vocab,31.0,9B,steering,540.0,2.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat540_str2.0.json,0.64,0.36067805483937265,,0.13,,,,
clar_vocab,31.0,9B,steering,540.0,3.0,/mnt/d/MIPT/results/clar_vocab2/results_layer31/ambik_9b_steered_seed50_feat540_str3.0.json,0.58,0.32683394514024255,,0.09,,,,
